standard_code,old_product,new_product,old_confidence,new_confidence,changed,reason
IS 3818: 1992,,hinge,low,high,True,title_scope_or_summary
IS 3828: 1966,,window,low,high,True,title_scope_or_summary
IS 3837: 1976,pipe,plug_socket,low,low,True,full_text_repeated_terms
IS 383: 1970,,aggregate,low,high,True,title_scope_or_summary
IS 3843: 1995,,hinge,low,high,True,title_scope_or_summary
IS 3847: 1992,,latch,low,high,True,title_scope_or_summary
IS 3854: 1997,,,low,medium,True,non_product_family_link
IS 3908: 1986,,rod,low,low,True,full_text_repeated_terms
IS 3909: 1986,,rod,low,low,True,full_text_repeated_terms
IS 3921: 1985,,channel,low,high,True,title_scope_or_summary
IS 3951 (Part 1): 1975,tile,tile,high,low,True,full_text_repeated_terms
IS 3951 (Part 2): 1975,tile,tile,high,high,False,unchanged
IS 3952: 1988,,brick,low,high,True,title_scope_or_summary
IS 3954: 1991,,channel,low,high,True,title_scope_or_summary
IS 3964: 1980,,light_rails,low,medium,True,source_grounded_title_phrase
IS 3989: 1984,pipe,pipe_fitting,low,high,True,title_scope_or_summary
IS 399: 1963,,timber,low,high,True,title_scope_or_summary
IS 4021: 1995,,window,low,high,True,title_scope_or_summary
IS 404 (Part 1): 1993,pipe,pipe,high,high,False,unchanged
IS 407: 1981,pipe,pipe,high,high,False,unchanged
IS 4098: 1983,,cement,low,high,True,title_scope_or_summary
IS 412: 1975,,steel_sheet,low,high,True,title_scope_or_summary
IS 4139: 1989,,brick,low,high,True,title_scope_or_summary
IS 4160: 1967,,plug_socket,low,high,True,title_scope_or_summary
IS 419: 1967,,,low,high,True,non_product_family_link
IS 423: 1961,,,low,high,True,non_product_family_link
IS 4270: 2001,pipe,pipe,high,high,False,unchanged
IS 432 (Part 1): 1982,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 432 (Part II): 1982,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 4346: 1982,washer,washer,low,high,True,title_scope_or_summary
IS 4350: 1967,pipe,pipe,high,high,False,unchanged
IS 4351: 2003,,door,low,high,True,title_scope_or_summary
IS 4457: 1982,,tile,low,high,True,title_scope_or_summary
IS 452: 1973,,door,low,high,True,title_scope_or_summary
IS 453: 1993,,hinge,low,high,True,title_scope_or_summary
IS 454: 1994,,bitumen_from_waxy_crude,low,medium,True,source_grounded_title_phrase
IS 455: 1989,cement,cement,high,high,False,unchanged
IS 458: 2003,pipe,pipe,high,high,False,unchanged
IS 459: 1992,cement,cement,low,high,True,title_scope_or_summary
IS 4615: 1968,,plug_socket,low,low,True,full_text_repeated_terms
IS 4621: 1975,bolt,bolt,high,high,False,unchanged
IS 4649: 1968,pipe_fitting,,low,high,True,non_product_family_link
IS 4671: 1984,thermal_insulation,thermal_insulation,high,high,False,unchanged
IS 4762: 1984,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 4832 (Part 1): 1969,,,low,low,False,unchanged
IS 4832 (Part 2): 1969,tile,tile,low,low,False,unchanged
IS 4832 (Part 3): 1968,tile,tile,low,low,False,unchanged
IS 4860: 1968,,brick,low,high,True,title_scope_or_summary
IS 4885: 1988,,brick,low,high,True,title_scope_or_summary
IS 4891: 1988,,timber,low,high,True,title_scope_or_summary
IS 4895: 1985,,timber,low,low,True,full_text_repeated_terms
IS 4923: 1997,,steel_section,low,high,True,title_scope_or_summary
IS 4948: 2002,,wire_fabric,low,high,True,title_scope_or_summary
IS 4962: 1968,pipe_fitting,door,low,high,True,title_scope_or_summary
IS 4972: 1968,,electrode,low,high,True,title_scope_or_summary
IS 4984: 1995,pipe,pipe,high,high,False,unchanged
IS 4985: 2000,pipe,pipe,high,high,False,unchanged
IS 4990: 1993,,board,low,high,True,title_scope_or_summary
IS 4992: 1975,,door,low,high,True,title_scope_or_summary
IS 4996: 1984,,reinforced_concrete_fence_posts,low,medium,True,source_grounded_title_phrase
IS 513: 1994,,steel_sheet,low,high,True,title_scope_or_summary
IS 5187: 1972,bolt,bolt,high,high,False,unchanged
IS 5219: 1969,,sink,low,low,True,full_text_repeated_terms
IS 5246: 2000,,timber,low,high,True,title_scope_or_summary
IS 5312 (Part 1): 2004,valve,valve,low,low,False,unchanged
IS 5312 (Part 2): 1986,valve,door,low,low,True,full_text_repeated_terms
IS 5317: 2002,,aggregate,low,low,True,full_text_repeated_terms
IS 5369: 1975,washer,washer,high,high,False,unchanged
IS 5372: 1975,washer,washer,high,low,True,full_text_repeated_terms
IS 5373: 1969,washer,bolt,high,low,True,full_text_repeated_terms
IS 5374: 1975,washer,washer,high,high,False,unchanged
IS 5382: 1985,pipe,pipe,low,low,False,unchanged
IS 5384: 1985,,rod,low,low,True,full_text_repeated_terms
IS 5437: 1994,,glass,low,high,True,title_scope_or_summary
IS 5455: 1969,,nut,low,low,True,full_text_repeated_terms
IS 5504: 1997,pipe,pipe,high,high,False,unchanged
IS 5509: 2000,,board,low,high,True,title_scope_or_summary
IS 5511: 1991,,electrode,low,high,True,title_scope_or_summary
IS 5531: 1988,cement,pipe,high,low,True,full_text_repeated_terms
IS 5539: 1969,,board,low,high,True,title_scope_or_summary
IS 5624: 1993,bolt,bolt,high,high,False,unchanged
IS 5751: 1984,,block,low,high,True,title_scope_or_summary
IS 5758: 1984,,channel,low,high,True,title_scope_or_summary
IS 5779: 1986,,brick,low,high,True,title_scope_or_summary
IS 5820: 1970,,w_length_width_t,low,medium,True,source_grounded_title_phrase
IS 5871: 1987,,aggregate,low,low,True,full_text_repeated_terms
IS 5897: 1985,,rod,low,high,True,title_scope_or_summary
IS 5898: 1970,,rod,low,high,True,title_scope_or_summary
IS 5899: 1970,,latch,low,high,True,title_scope_or_summary
IS 5930: 1970,,latch,low,high,True,title_scope_or_summary
IS 5961: 1970,,coating,low,low,True,full_text_repeated_terms
IS 6003: 1983,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 6006: 1983,,relieved_strand_prestressed_concrete,low,medium,True,source_grounded_title_phrase
IS 6056: 1970,,timber,low,high,True,title_scope_or_summary
IS 6072: 1971,,cement,low,low,True,full_text_repeated_terms
IS 6073: 1971,,cement,low,low,True,full_text_repeated_terms
IS 6113: 1970,bolt,bolt,low,high,True,title_scope_or_summary
IS 6163: 1978,pipe,pipe,medium,high,True,title_scope_or_summary
IS 6165: 1992,,brick,low,high,True,title_scope_or_summary
IS 6198: 1992,,door,low,high,True,title_scope_or_summary
IS 6248: 1979,,door,low,high,True,title_scope_or_summary
IS 6250: 1981,tile,,high,high,True,non_product_family_link
IS 6286: 1971,pipe,pipe,high,high,False,unchanged
IS 6307: 1985,,rigid_pvc_sheets,low,medium,True,source_grounded_title_phrase
IS 6315: 1992,,door,low,high,True,title_scope_or_summary
IS 6318: 1971,,fastener,low,high,True,title_scope_or_summary
IS 6343: 1982,,door,low,high,True,title_scope_or_summary
